target,Year,number,IF,PF,IF_proportion
bulimic,1986,singular,9.499660661279767e-10,5.18631713963824e-10,0.6468524459219837
bulimic,1987,plural,9.66332311788268e-11,1.0365638030458107e-09,0.08527487123626804
bulimic,1987,singular,1.0897462139019302e-09,7.18106387845704e-10,0.6027848801658292
bulimic,1988,plural,1.0982175684721389e-10,1.041993475630371e-09,0.09534667866041709
bulimic,1988,singular,1.1398085729221107e-09,7.887647876117905e-10,0.5910112605758326
bulimic,1989,plural,2.3641798241325063e-10,1.3588282562640835e-09,0.14820156078805224
bulimic,1989,singular,1.262670071674624e-09,9.364446757713955e-10,0.5741719813125022
bulimic,1990,plural,3.138471565966583e-10,1.492578759000805e-09,0.1737392903228226
bulimic,1990,singular,1.3224920761675411e-09,1.0177284570644927e-09,0.565114294737459
bulimic,1991,plural,3.1237052726197837e-10,1.5689220240438266e-09,0.1660403784861435
bulimic,1991,singular,1.330178015354225e-09,1.0249350653904595e-09,0.5648043086464554
bulimic,1992,plural,3.7651021685323825e-10,2.0402561386388486e-09,0.15579090465142442
bulimic,1992,singular,1.2635498282596659e-09,1.106162352191932e-09,0.5332081417663432
bulimic,1993,plural,4.0716640674144847e-10,2.300982119126818e-09,0.1503486248454212
bulimic,1993,singular,1.168915884721043e-09,1.2413315137698483e-09,0.4849775526997464
bulimic,1994,plural,4.4397840562712277e-10,2.705333512764696e-09,0.1409763202667579
bulimic,1994,singular,1.0896735577351331e-09,1.2681326940925224e-09,0.4621556825928644
bulimic,1995,plural,4.490421387900615e-10,3.3240525728775843e-09,0.11901162655723324
bulimic,1995,singular,1.0779394995655674e-09,1.3472112393918067e-09,0.4444835045713478
bulimic,1996,plural,3.7646617767617125e-10,3.813169415143948e-09,0.0898565446410973
bulimic,1996,singular,9.82443396476843e-10,1.5131691693299435e-09,0.3936682359824698
bulimic,1997,plural,3.7024951557044055e-10,4.999867742050412e-09,0.06894626277387356
bulimic,1997,singular,8.342740942524073e-10,1.6931119125754684e-09,0.3300936588232145
bulimic,1998,plural,4.2374952356562437e-10,5.810736558586882e-09,0.06796863734746224
bulimic,1998,singular,8.922285132939577e-10,1.886074122278306e-09,0.3211415854666891
bulimic,1999,plural,4.2672769682918135e-10,5.9919563596569764e-09,0.06648211581593082
bulimic,1999,singular,9.519960772078458e-10,2.010902365258614e-09,0.321305672703165
bulimic,2000,plural,4.702426999379584e-10,6.842718645673682e-09,0.06430263715534905
bulimic,2000,singular,9.518034773035667e-10,2.1061364874341852e-09,0.31125643023707733
bulimic,2001,plural,4.931606968033058e-10,7.643952201366996e-09,0.060606348096042414
bulimic,2001,singular,9.576352012961663e-10,2.2371163651716384e-09,0.29975263533713553
bulimic,2002,plural,5.72088868341528e-10,8.328300144760142e-09,0.06427683863024346
bulimic,2002,singular,9.353406779258727e-10,2.4611938836167316e-09,0.27538088041744196
bulimic,2003,plural,6.065384226618318e-10,8.635256573289292e-09,0.06562993692540889
bulimic,2003,singular,9.125081880588327e-10,2.4825358911430483e-09,0.2687765362602739
bulimic,2004,plural,5.197067934733671e-10,8.646399532860221e-09,0.05669875244413055
bulimic,2004,singular,8.429042781215352e-10,2.683222057240998e-09,0.23904539938580316
bulimic,2005,plural,5.341671628831892e-10,9.107722258911673e-09,0.05540067299213567
bulimic,2005,singular,8.143873591366052e-10,2.6685279383035063e-09,0.23382347533262354
bulimic,2006,plural,5.395123474955758e-10,1.0062553203381088e-08,0.050887475172322866
bulimic,2006,singular,7.874459417855916e-10,2.7318929340935942e-09,0.22374825771470366
bulimic,2007,plural,6.645904540977402e-10,1.0866975129277177e-08,0.057632283257000386
bulimic,2007,singular,8.121512430823786e-10,3.000524749298604e-09,0.21301344376110945
bulimic,2008,plural,7.028286444895774e-10,1.130345823290619e-08,0.05853838506997468
bulimic,2008,singular,8.570303831691361e-10,3.0693007183454515e-09,0.21827766457050338
bulimic,2009,plural,7.122146126827186e-10,1.2291421467937524e-08,0.054770420232242274
bulimic,2009,singular,7.749130543593146e-10,3.1654787997175453e-09,0.19665888141494453
bulimic,2010,plural,7.016943692761402e-10,1.3766983489712662e-08,0.04849747683339331
bulimic,2010,singular,7.691352316945604e-10,3.273979944294426e-09,0.1902333221329571
bulimic,2011,plural,7.165404063742235e-10,1.3839911185341082e-08,0.04922493657602908
bulimic,2011,singular,7.944178331038236e-10,3.074303732221649e-09,0.20534376012583108
bulimic,2012,plural,7.223490297977466e-10,1.4010400078185677e-08,0.04903015889996512
bulimic,2012,singular,7.742179437235968e-10,3.198408141510559e-09,0.19488819916913033
bulimic,2013,plural,6.750548532861802e-10,1.4244159375818656e-08,0.045247346336059945
bulimic,2013,singular,7.380559814101111e-10,3.259856606874223e-09,0.18461033479644956
bulimic,2014,plural,5.548360739103333e-10,1.304566404109713e-08,0.04079526996938147
bulimic,2014,singular,5.996055041368463e-10,2.8875189858216086e-09,0.17194840788261906
bulimic,2015,plural,4.854703940436269e-10,1.2344669730879332e-08,0.037838276847856483
bulimic,2015,singular,4.952881834821962e-10,2.6491546258254422e-09,0.15751222506452633
bulimic,2016,plural,4.264973096912428e-10,1.0725249831113258e-08,0.0382448870393303
bulimic,2016,singular,5.073593648382716e-10,2.3684631240377438e-09,0.17642235110156873
bulimic,2017,plural,4.0663902337959945e-10,9.389148791782986e-09,0.04151162020375492
bulimic,2017,singular,4.782427925897892e-10,2.185285304564152e-09,0.1795523738235785
bulimic,2018,plural,4.200609693416624e-10,9.031200054465672e-09,0.044444965416101226
bulimic,2018,singular,4.4425289558169824e-10,2.0893951679923363e-09,0.17534120147492888
bulimic,2019,plural,3.7409302738877765e-10,8.373437831998842e-09,0.04276555674991542
bulimic,2019,singular,3.4216340177861676e-10,1.8641639065730686e-09,0.15508279323897867
depressed,1980,plural,3.194047312352463e-08,8.765086989548364e-10,0.9732910020886066
depressed,1980,singular,5.192526992508257e-08,1.8603029930000908e-10,0.9964301351434527
depressed,1981,plural,3.658262391427668e-08,9.01850847969042e-10,0.9759406833445248
depressed,1981,singular,5.5394309076258914e-08,2.149963808175036e-10,0.9961338056814348
depressed,1982,plural,3.932251146920862e-08,1.1221016893436795e-09,0.9722558431961067
depressed,1982,singular,5.74636952624782e-08,2.054908713427268e-10,0.9964367301652934
depressed,1983,plural,4.3473921351733225e-08,1.2699472029531478e-09,0.9716174026972879
depressed,1983,singular,6.200467035049379e-08,2.1902803182261008e-10,0.9964799901401415
depressed,1984,plural,4.721084881761532e-08,1.5578051626441434e-09,0.9680572450641203
depressed,1984,singular,6.290719361296788e-08,2.898306971405822e-10,0.9954138553151113
depressed,1985,plural,4.885957238798255e-08,1.802492353787853e-09,0.9644212614907163
depressed,1985,singular,6.44817613907175e-08,2.6795571912113004e-10,0.9958616696553811
depressed,1986,plural,4.8864815685841934e-08,1.981708662248037e-09,0.9610256809554678
depressed,1986,singular,6.312433192030247e-08,2.9437079163141533e-10,0.9953582968581283
